( 1.330883979797363,  1.141848206520081,  0.780879974365234); // L00, irradiance, pre-scaled base
( 1.068983078002930,  0.940233767032623,  0.671083092689514); // L1-1, irradiance, pre-scaled base
( 1.553986310958862,  1.320397019386292,  0.839468300342560); // L10, irradiance, pre-scaled base
(-1.108482956886292, -0.949835002422333, -0.606039404869080); // L11, irradiance, pre-scaled base
(-0.789997518062592, -0.673161387443542, -0.428823173046112); // L2-2, irradiance, pre-scaled base
( 1.049153923988342,  0.899117648601532,  0.579382359981537); // L2-1, irradiance, pre-scaled base
( 0.131435126066208,  0.109160654246807,  0.063100486993790); // L20, irradiance, pre-scaled base
(-1.171961307525635, -0.990144848823547, -0.621430873870850); // L21, irradiance, pre-scaled base
( 0.016975687816739,  0.007671350147575, -0.009948755614460); // L22, irradiance, pre-scaled base
